word,rank,frequency,source,level,tags,translation,bnc,frq
intermediate,4880,0.00014543,ecdict_education,cet4,cet4 cet6 ielts toefl,"n. 中间物, 调停者, 中级\na. 中间的, 中级的\nvi. 起媒介作用\n[计] 中级",4864,6876
submarine,4881,0.00014533,ecdict_education,cet4,cet4 cet6 ielts toefl,"n. 潜水艇, 海底生物\na. 海中的, 生长在海中的\nvt. 用潜水艇攻击\nvi. 在下疾行, 在下滑动",6579,6881
ditch,4882,0.00014514,ecdict_education,cet4,cet4 cet6 ielts toefl gre,n. 沟渠\nvt. 在...开沟\nvi. 开沟,6459,6890
secondly,4883,0.00014512,ecdict_education,cet4,cet4 cet6,"adv. 第二, 其次",2787,6891
dispose,4884,0.00014493,ecdict_education,cet4,cet4 cet6 ielts toefl gre,"vt. 处理, 排列, 布置\nvi. 处置",4101,6900
evacuate,4885,0.00014457,ecdict_education,cet4,cet4 cet6 ielts toefl gre,"v. 疏散, 撤出, 排泄",7751,6917
gulf,4886,0.00014432,ecdict_education,cet4,cet4 cet6 toefl,"n. 海湾, 深渊, 漩涡, 隔阂\nvt. 吞没",3162,6929
marvelous,4887,0.00014420,ecdict_education,cet4,cet4 ielts toefl,"a. 令人惊异的, 了不起的, 不平常的",,6935
mercury,4888,0.00014415,ecdict_education,cet4,cet4 cet6 toefl,"n. 水银, 汞, 使者\n[化] 汞Hg",7335,6937
reliance,4889,0.00014405,ecdict_education,cet4,cet4 cet6 toefl gre,"n. 信任, 信赖, 受信赖的人(或事)\n[法] 信任, 信赖, 信心",6173,6942
nucleus,4890,0.00014401,ecdict_education,cet4,cet4 cet6 ielts toefl gre,"n. 核心, 核子, 原子核, 起点\n[计] 核心程序",5854,6944
bud,4891,0.00014366,ecdict_education,cet4,cet4 cet6 ielts toefl gre,"n. 芽, 花蕾\nvi. 发芽, 萌芽\nvt. 使发芽",6466,6961
withstand,4892,0.00014343,ecdict_education,cet4,cet4 cet6 ielts toefl gre,"vt. 抵住, 顶住, 经得起",7636,6972
expel,4893,0.00014337,ecdict_education,cet4,cet4 cet6 ielts toefl gre,"vt. 驱逐, 逐出, 排出, 开除\n[医] 排除, 迫出",5990,6975
apparatus,4894,0.00014331,ecdict_education,cet4,cet4 cet6 ielts gre,"n. 装置, 器具, 器官\n[化] 仪器; 器械",5318,6978
scarcely,4895,0.00014325,ecdict_education,cet4,cet4 cet6 ielts toefl,"adv. 简直不, 一定不, 仅仅",4028,6981
lumber,4896,0.00014318,ecdict_education,cet4,cet4 cet6 toefl gre,"n. 木材, 破旧家俱, 废物, 隆隆声\nvt. 砍伐木材, 乱堆\nvi. 笨拙地移动, 喧闹地向前走, 隆隆地移动",18664,6984
eve,4897,0.00014304,ecdict_education,cet4,cet4,"n. 前夕, 前夜",5529,6991
earnest,4898,0.00014286,ecdict_education,cet4,cet4 cet6 toefl gre,"n. 定金, 诚挚, 认真\na. 认真的, 热心的, 重要的",9569,7000
simplicity,4899,0.00014271,ecdict_education,cet4,cet4 cet6 toefl,"n. 单纯, 简朴, 朴素, 坦率, 天真\n[计] 简明性",5613,7007
autobiography,4900,0.00014263,ecdict_education,cet4,cet4 toefl gre,n. 自传,8624,7011
staircase,4901,0.00014229,ecdict_education,cet4,cet4 cet6 toefl,"n. 楼梯, 梯子, 楼梯部分\n[医] 阶梯现象",5445,7028
gratitude,4902,0.00014168,ecdict_education,cet4,cet4 cet6 ielts toefl gre,n. 感激之情,6369,7058
preceding,4903,0.00014126,ecdict_education,cet4,cet4 cet6 ielts toefl,"a. 在前的, 前面的\n[法] 在前的, 在先的, 前面的",6220,7079
pave,4904,0.00014112,ecdict_education,cet4,cet4 cet6 ielts toefl,"vt. 铺设, 安排, 铺满, 为...铺路\n[化] 铺设",8451,7086
precaution,4905,0.00014108,ecdict_education,cet4,cet4 cet6 ielts toefl,"n. 预防, 留心, 警戒\nvt. 预先警告",5945,7088
glide,4906,0.00014104,ecdict_education,cet4,cet4 cet6 ielts toefl gre,"n. 滑动, 滑过, 流水\nvi. 滑动, 滑翔, 溜走, 流逝\nvt. 使滑动",8829,7090
unstable,4907,0.00014090,ecdict_education,cet4,cet4 cet6 toefl,a. 不稳定的,6975,7097
scout,4908,0.00014067,ecdict_education,cet4,cet4 cet6 ielts toefl,"n. 守候, 侦察, 搜索, 侦察员, 侦察机\nvi. 守候, 侦察, 巡视, 嘲笑\nvt. 侦察, 跟踪, 发现, 监视, 嘲弄",6892,7109
insufficient,4909,0.00014059,ecdict_education,cet4,cet4 cet6 toefl gre,"a. 不够的, 不能胜任的, 不充足的\n[法] 不足的, 不充分的, 不能胜任的",4791,7113
arouse,4910,0.00013984,ecdict_education,cet4,cet4 cet6 ielts toefl gre,"vt. 唤醒, 鼓励, 引起\nvi. 醒来",4546,7151
unload,4911,0.00013966,ecdict_education,cet4,cet4 cet6 toefl,"vi. 卸货\nvt. 从...卸下, 摆脱...之负担, 倾销, 卸(货)\n[计] 卸载",7637,7160
affluent,4912,0.00013953,ecdict_education,cet4,cet4 toefl gre,"a. 丰富的, 富裕的\nn. 支流, 富人",9888,7167
groan,4913,0.00013931,ecdict_education,cet4,cet4 cet6 ielts gre,"n. 呻吟, 叹息\nvi. 呻吟, 抱怨, 受压迫\nvt. 呻吟地说",6209,7178
torch,4914,0.00013924,ecdict_education,cet4,cet4 cet6 ielts,"n. 火把, 启发之物\n[化] 火炬",5151,7182
mistress,4915,0.00013914,ecdict_education,cet4,cet4 cet6,"n. 主妇, 女主人, 情妇",4800,7187
wreck,4916,0.00013887,ecdict_education,cet4,cet4 cet6 ielts toefl,"n. 失事, 残骸, 破坏\nvt. 使失事, 拆毁, 破坏\nvi. (船)失事, 营救失事船只",6918,7201
graceful,4917,0.00013820,ecdict_education,cet4,cet4 cet6 toefl,a. 优美的,9715,7236
puppet,4918,0.00013793,ecdict_education,cet4,cet4 cet6,"n. 傀儡, 木偶\n[法] 木偶, 傀儡, 受他人操纵的人",7795,7250
throne,4919,0.00013787,ecdict_education,cet4,cet4 cet6 gre,"n. 王座, 君主",4691,7253
turbine,4920,0.00013740,ecdict_education,cet4,cet4 cet6,n. 涡轮机\n[化] 涡轮机,10576,7278
veil,4921,0.00013699,ecdict_education,cet4,cet4 cet6 ielts toefl gre,"n. 面纱, 面罩, 借口, 幕, 帐, 遮蔽物\nvt. 戴面纱, 隐藏, 遮蔽, 掩饰\nvi. 蒙上面纱",7969,7300
restless,4922,0.00013693,ecdict_education,cet4,cet4 cet6 ielts gre,"a. 不安静的, 慌张的, 休息不充分的\n[医] 不安静的, 不宁的",7077,7303
elimination,4923,0.00013643,ecdict_education,cet4,cet4 cet6 toefl,"n. 除去, 消除, 消灭\n[化] 消去; 脱去",7987,7330
furnish,4924,0.00013633,ecdict_education,cet4,cet4 cet6 ielts toefl,"vt. 供给, 提供, 装设\n[化] 供应; 供给; 配料",5253,7335
prosperous,4925,0.00013618,ecdict_education,cet4,cet4 cet6 toefl gre,"a. 成功的, 繁盛的, 幸运的\n[经] 繁荣的, 昌盛的",6904,7343
ignorant,4926,0.00013592,ecdict_education,cet4,cet4 cet6 toefl gre,"a. 无知识的, 不知道的, 由无知产生的\n[法] 无知的, 愚昧的, 不知情的",6928,7357
disguise,4927,0.00013580,ecdict_education,cet4,cet4 cet6 ielts gre,"n. 假面目, 假装\nvt. 假装, 隐瞒",5545,7364
hollow,4928,0.00013490,ecdict_education,cet4,cet4 cet6 toefl,"n. 洞, 窟窿, 山谷\na. 空的, 虚伪的, 空腹的, 凹的\nvi. 形成空洞\nvt. 挖空",7023,7413
vibration,4929,0.00013481,ecdict_education,cet4,cet4 cet6 toefl,"n. 振动, 颤动\n[化] 振动",6691,7418
sober,4930,0.00013472,ecdict_education,cet4,cet4 cet6 ielts toefl gre,"a. 未醉的, 稳重的, 节制的, 严肃的, 不夸大的, 合理的, 朴素的\nvt. 使醒酒, 使严肃\nvi. 从醉里醒来, 变严肃",7671,7423
corresponding,4931,0.00013466,ecdict_education,cet4,cet4 cet6 ielts toefl,"a. 相当的, 一致的, 通信的\n[计] 对应",4630,7426
saw,4932,0.00013454,ecdict_education,cet4,cet4 cet6,"n. 锯子, 谚语\nvt. 锯, 锯开, 来回移动\nvi. 拉锯, 移动\nsee的过去式",6947,7433
youthful,4933,0.00013452,ecdict_education,cet4,cet4 cet6,"a. 年轻的, 青年的\n[法] 青年的, 年轻的",8548,7434
nap,4934,0.00013444,ecdict_education,cet4,cet4 cet6 ielts,"n. 小睡, 稍睡, 细毛, 孤注一掷\nvi. 小睡, 疏忽\nvt. 使拉毛, 打盹度过, 预测...为获胜马",15002,7438
presently,4935,0.00013437,ecdict_education,cet4,cet4 cet6,"adv. 目前, 不久",5610,7442
impatient,4936,0.00013421,ecdict_education,cet4,cet4 cet6 toefl,"a. 不耐烦的, 着急的, 急切的",7043,7451
fertile,4937,0.00013408,ecdict_education,cet4,cet4 cet6 ielts toefl gre,"a. 可繁殖的, 肥沃的, 生产多的\n[医] 能生育的",7675,7458
disgust,4938,0.00013398,ecdict_education,cet4,cet4 cet6 ielts toefl gre,"n. 厌恶, 嫌恶\nvi. 令人厌恶\nvt. 使作呕",7868,7464
layout,4939,0.00013373,ecdict_education,cet4,cet4 cet6 ielts toefl,"n. 布局, 陈列, 规划图, 页面布局, 版面编排\n[计] 页面布局, 版面",4564,7478
accidental,4940,0.00013360,ecdict_education,cet4,cet4 cet6 toefl,"a. 意外的, 偶然的, 非主要的, 附属的\nn. 临时记号, 次要方面",6917,7485
lever,4941,0.00013356,ecdict_education,cet4,cet4 cet6 ielts gre,"n. 杠杆, 似杠杆之工具\nvt. 撬开\nvi. 使用杠杆",6923,7487
upright,4942,0.00013355,ecdict_education,cet4,cet4 cet6 ielts toefl gre,"a. 正直的, 诚实的, 公正的, 垂直的, 竖式的\n[化] 立杆",6573,7488
liner,4943,0.00013332,ecdict_education,cet4,cet4 cet6 ielts,"n. 班机, 划线者, 定期船, 衬里\n[化] 衬垫; 垫带; 套管",8442,7501
inferior,4944,0.00013324,ecdict_education,cet4,cet4 cet6 ielts toefl gre,"a. 次等的, 较差的, 下方的, 下级的\nn. 部下, 次品, 下标(符号)",5966,7505
announcer,4945,0.00013312,ecdict_education,cet4,cet4 toefl,"n. 节目报告员, 宣告者",20423,7512
orphan,4946,0.00013296,ecdict_education,cet4,cet4 cet6,"n. 孤儿\na. 无双亲的, 孤儿的\nvt. 使成孤儿\n[计] 弧体",9767,7521
reel,4947,0.00013286,ecdict_education,cet4,cet4 cet6 ielts toefl gre,"n. 卷轴, 一卷, 纺车, 旋转, 蹒跚\nvt. 卷...于轴上, 绕, 使旋转\nvi. 蹒跚地走, 旋转, 眩晕, 摇晃, 退缩\n[计] 卷; 盘",9829,7527
conjunction,4948,0.00013233,ecdict_education,cet4,cet4 cet6 ielts toefl gre,"n. 连接词, 联合, 结合\n[计] 合取",11901,7557
agony,4949,0.00013198,ecdict_education,cet4,cet4 cet6 ielts gre,"n. 极大的痛苦, 挣扎\n[医] 濒死苦闷; 剧痛",5575,7577
applicable,4950,0.00013189,ecdict_education,cet4,cet4 cet6 gre,"a. 合适的, 可应用的\n[法] 适用的, 适应的",4629,7582
accustom,4951,0.00013186,ecdict_education,cet4,cet4 cet6 toefl,vt. 使习惯于,14055,7584
reap,4952,0.00013177,ecdict_education,cet4,cet4 cet6 ielts toefl gre,"vt. 收割, 收获, 获得\nvi. 收割, 得到报应",8430,7589
feasible,4953,0.00013173,ecdict_education,cet4,cet4 cet6 ielts toefl gre,"a. 能实行的, 可行的, 适宜的\n[法] 可行的, 可执行的, 可完成的",6420,7591
paste,4954,0.00013125,ecdict_education,cet4,cet4 cet6,"n. 面团, 面食, 浆糊, 糊状物, 粘贴, 用拳重击\nvt. 用浆糊粘, 张贴, 狠狠地打\n[计] 粘贴",8942,7619
bruise,4955,0.00013122,ecdict_education,cet4,cet4 cet6 ielts toefl gre,"n. 青肿, 挫伤, 擦伤\nvi. 受伤, 擦伤\nvt. 使受伤, 研碎",8010,7621
mediterranean,4956,0.00013118,ecdict_education,cet4,cet4 cet6,"n. 地中海, 地中海民族\na. 地中海的, 地中海民族的",11647,7623
reign,4957,0.00013113,ecdict_education,cet4,cet4 cet6 ielts toefl gre,v. 为王，为君；当政；统治\nn. 为王，为君；当政；统治,3868,7626
procession,4958,0.00013091,ecdict_education,cet4,cet4 cet6 gre,"n. 队伍, 连续, 列队行进, 涌出",6035,7639
moan,4959,0.00013074,ecdict_education,cet4,cet4 cet6 gre,"n. 呻吟, 悲叹\nvi. 呻吟, 抱怨, 悲叹\nvt. 呻吟着说",6537,7649
lessen,4960,0.00013072,ecdict_education,cet4,cet4 cet6,"vt. 减少, 缩小, 减轻\nvi. 变小",8420,7650
fashionable,4961,0.00013070,ecdict_education,cet4,cet4 cet6 toefl,"a. 时髦的, 上流社会的, 流行的",4986,7651
conquest,4962,0.00013068,ecdict_education,cet4,cet4 cet6 ielts gre,"n. 战胜, 征服, 战利品\n[法] 征服, 赢得, 获得",6507,7652
infamous,4963,0.00013053,ecdict_education,cet4,cet4 toefl,"a. 无耻的, 不名誉的, 声名狼藉的",11420,7661
masterpiece,4964,0.00013012,ecdict_education,cet4,cet4 cet6 ielts toefl,"n. 杰作, 名著",7693,7685
slippery,4965,0.00012975,ecdict_education,cet4,cet4 cet6 ielts toefl gre,"a. 滑的, 光滑的, 靠不住的, 圆滑的, 不稳固的\n[法] 狡猾的, 不可靠的, 不安定的",8641,7707
wicked,4966,0.00012933,ecdict_education,cet4,cet4 cet6 ielts gre,"a. 坏的, 邪恶的, 缺德的, 刻毒的, 恶劣的, 淘气的",5319,7732
ornament,4967,0.00012925,ecdict_education,cet4,cet4 cet6 ielts toefl,"n. 装饰, 点缀品, 教堂用品\nvt. 装饰, 修饰",7644,7737
pinch,4968,0.00012918,ecdict_education,cet4,cet4 cet6 ielts toefl gre,"n. 捏, 拧, 撮, 少量, 收缩, 挤压, 夹痛, 苦恼, 逮捕, 指控, 匮乏, 紧急关头\nvt. 捏, 拧, 掐, 挤压, 修剪, 使困苦, 使萎缩, 节制, 少量加入, 逮捕, 勒索\nvi. 收缩, 节省, 挤压, 引起苦恼",7728,7741
orderly,4969,0.00012913,ecdict_education,cet4,cet4 cet6 ielts toefl,"a. 有秩序的, 整齐的, 值班的\nn. 护理员, 清道夫, 传令兵, 勤务兵\nadv. 依次地, 顺序地",8435,7744
brighten,4970,0.00012798,ecdict_education,cet4,cet4 toefl,"vi. 变亮, 活跃\nvt. 使生辉, 使快活",9833,7814
amongst,4971,0.00012786,ecdict_education,cet4,cet4,"prep. 在...当中, 在...之间, 在...之中",1997,7821
compute,4972,0.00012781,ecdict_education,cet4,cet4 cet6 ielts toefl,"v. 计算, 估算\nn. 计算, 估算",10477,7824
knob,4973,0.00012718,ecdict_education,cet4,cet4 cet6 ielts,"n. 把手, 瘤, 旋钮, 球形突出物\nvt. 使有球形突出物\nvi. 鼓起",9973,7863
tablet,4974,0.00012716,ecdict_education,cet4,cet4 cet6 ielts,"n. 平板, 门牌, 笔记簿, 碑, 匾, 药片\n[化] 片剂",4781,7864
evaporate,4975,0.00012679,ecdict_education,cet4,cet4 cet6 ielts toefl gre,"vi. 蒸发, 失去水分, 消失\nvt. 使蒸发, 使脱水, 使消失",8428,7887
coarse,4976,0.00012653,ecdict_education,cet4,cet4 cet6 ielts toefl gre,"a. 粗糙的, 下等的, 粗俗的\n[计] 粗略的",7031,7903
aviation,4977,0.00012621,ecdict_education,cet4,cet4 cet6 ielts toefl,"n. 航空, 航空学, 飞行术\n[法] 航空, 飞行, 飞行术",5895,7923
decay,4978,0.00012609,ecdict_education,cet4,cet4 cet6 ielts toefl,"n. 衰退, 腐败\nv. (使)衰退, (使)腐败",6007,7931
conserve,4979,0.00012598,ecdict_education,cet4,cet4 cet6 ielts toefl gre,"n. 蜜饯, 果酱\nvt. 保存, 使(能量等)守恒",7632,7938
specially,4980,0.00012585,ecdict_education,cet4,cet4 cet6,"adv. 特别地, 专门地",3487,7946
durable,4981,0.00012580,ecdict_education,cet4,cet4 cet6 ielts toefl,"a. 持久的, 耐用的",10004,7949
outset,4982,0.00012557,ecdict_education,cet4,cet4 cet6 ielts toefl gre,"n. 着手, 开头, 最初",5658,7964
pigeon,4983,0.00012522,ecdict_education,cet4,cet4 cet6 toefl,"n. 鸽子, 易上当受骗的人, 年轻女子",6052,7986
acceleration,4984,0.00012472,ecdict_education,cet4,cet4 toefl,"n. 加速, 促进, 加速度\n[化] 加速度",7072,8018
wavelength,4985,0.00012464,ecdict_education,cet4,cet4 cet6,n. 波长\n[化] 波长,8243,8023
paw,4986,0.00012449,ecdict_education,cet4,cet4 cet6,"n. 爪\nv. 以蹄扒地, 用爪子抓, 拼命抓, 向...乱抓, 笨拙地使用, 费力地前进",10382,8033
whirl,4987,0.00012446,ecdict_education,cet4,cet4 cet6 ielts,"n. 回旋, 旋转, 急走, 眩晕\nvt. 使旋转, 使回旋, 卷走\nvi. 回旋, 旋转, 急走, 发晕",10659,8035
blaze,4988,0.00012413,ecdict_education,cet4,cet4 cet6 ielts toefl,"n. 火焰, 烈火, 光辉\nvi. 燃烧, 发光\nvt. 使燃烧, 宣布, 在树皮上刻痕",7128,8056
successive,4989,0.00012399,ecdict_education,cet4,cet4 cet6 toefl,"a. 继承的, 连续的\n[经] 接续承运人; 连续的",3735,8065
conversely,4990,0.00012398,ecdict_education,cet4,cet4 cet6 ielts,"adv. 相反, 逆, 颠倒, 反题, 反",6671,8066
intern,4991,0.00012378,ecdict_education,cet4,cet4 gre,"n. 实习生, 被拘留者\nvi. 作实习医师(教师、实习生)\nvt. 拘留, 扣留",21049,8079
accordance,4992,0.00012367,ecdict_education,cet4,cet4 cet6,"n. 一致, 和谐",32964,8086
waterfall,4993,0.00012359,ecdict_education,cet4,cet4 cet6 ielts,n. 瀑布,8035,8091
petroleum,4994,0.00012349,ecdict_education,cet4,cet4 cet6 ielts toefl gre,n. 石油\n[化] 石油,8161,8098
honeymoon,4995,0.00012329,ecdict_education,cet4,cet4 cet6,"n. 蜜月, 蜜月假期\nvi. 渡蜜月",7922,8111
farewell,4996,0.00012314,ecdict_education,cet4,cet4 cet6 ielts gre,"n. 辞别, 再见, 再会\ninterj. 再会",6967,8121
sting,4997,0.00012287,ecdict_education,cet4,cet4 cet6 ielts toefl gre,"n. 叮, 刺痛, 刺激, 讽刺\nvt. 叮, 刺痛, 刺激, 使苦恼\nvi. 叮, 刺痛",8803,8139
exhaustion,4998,0.00012282,ecdict_education,cet4,cet4 toefl,"n. 抽空, 耗尽, 疲惫, 筋疲力尽\n[化] 抽空",8483,8142
indoors,4999,0.00012277,ecdict_education,cet4,cet4 cet6,adv. 在户内,7741,8145
idle,5000,0.00012276,ecdict_education,cet4,cet4 cet6 ielts gre,"a. 懒惰的, 闲散的, 停顿的, 空闲的, 无用的\nvi. 无所事事, 闲散, 浪费, 空转\nvt. 虚度, 使闲散, 使空转\nn. 空转, 空闲时间\n[计] 空闲时间",7526,8146
famine,5001,0.00012206,ecdict_education,cet4,cet4 cet6 ielts toefl gre,"n. 饥荒, 缺乏, 饥饿",6925,8193
harden,5002,0.00012185,ecdict_education,cet4,cet4 cet6 toefl gre,"vt. 使变硬, 使坚强, 使冷酷\nvi. 变硬, 变冷酷",6995,8207
cassette,5003,0.00012180,ecdict_education,cet4,cet4 cet6 ielts toefl,"n. 盒式磁带, 珠宝箱, 暗盒\n[计] 字盒",5251,8210
dwelling,5004,0.00012176,ecdict_education,cet4,cet4 cet6 toefl gre,n. 住处\n[医] 住房,4597,8213
frank,5005,0.00012158,ecdict_education,cet4,cet4 cet6 toefl,"a. 坦白的, 率直的, 老实的\nvt. 免费邮寄\nn. 免费邮寄特权",2307,8225
navigation,5006,0.00012140,ecdict_education,cet4,cet4 cet6 ielts toefl,"n. 航行, 航海, 导航\n[经] 航空, 航海, 航船",7152,8237
plaster,5007,0.00012136,ecdict_education,cet4,cet4 cet6 ielts toefl gre,"n. 石膏, 灰泥, 安慰(缓解)用品, 膏药\nvt. 涂以灰泥, 敷以膏药, 掩饰, 使平服, 彻底击败, 减轻, 粘贴",6048,8240
superficial,5008,0.00012076,ecdict_education,cet4,cet4 cet6 ielts toefl gre,"n. 表面, 外表\na. 表面的, 肤浅的, 面积的",6471,8281
puff,5009,0.00012073,ecdict_education,cet4,cet4 cet6,"n. 一阵喷烟, 肿块, 喘息\nv. 喷出, 张开, 吹捧, (使)充气, 喘气, (使)骄傲, (使)膨胀",9777,8283
excursion,5010,0.00012066,ecdict_education,cet4,cet4 cet6 ielts toefl gre,"n. 远足, 游览圆, 短程旅行\n[医] 移动, 离轨, 逸出",6562,8288
cucumber,5011,0.00012057,ecdict_education,cet4,cet4 cet6 ielts toefl,"n. 黄瓜\n[医] 黄瓜, 胡瓜",12343,8294
satisfactory,5012,0.00012047,ecdict_education,cet4,cet4 cet6 toefl,"a. 满意的, 赎罪的\n[法] 令人满意的, 令当事人满意的, 充分的",3282,8301
liable,5013,0.00012041,ecdict_education,cet4,cet4 cet6 ielts,"a. 有义务的, 应负责的, 有...倾向的\n[法] 有责任的, 可受处理的, 应受罚的",3300,8305
dorm,5014,0.00012028,ecdict_education,cet4,cet4 cet6,n. 宿舍,35169,8314
overtime,5015,0.00012024,ecdict_education,cet4,cet4 cet6 toefl,"n. 超时, 加班, 延长时间\na. 超时的, 加班的\nadv. 加班地\nvt. 使超过时间",9766,8317
awfully,5016,0.00011996,ecdict_education,cet4,cet4,"adv. 恶劣地, 非常地, 极端地",10415,8336
reed,5017,0.00011963,ecdict_education,cet4,cet4 cet6 toefl gre,"n. 芦苇, 芦笛, 簧舌, 纤弱的人\nvt. 用芦苇盖, 用小凸嵌线装饰",7220,8359
indifferent,5018,0.00011950,ecdict_education,cet4,cet4 cet6 ielts toefl gre,"a. 漠不关心的, 无重要性的, 中立的\n[医] 中性的, 无作用的, 无亲和力的, 淡漠的",7546,8368
respectful,5019,0.00011942,ecdict_education,cet4,cet4 cet6,"a. 表示尊敬的, 有礼貌的, 谦恭的",13810,8374
cricket,5020,0.00011930,ecdict_education,cet4,cet4 cet6 ielts,"n. 蟋蟀, 板球",2496,8382
rotten,5021,0.00011926,ecdict_education,cet4,cet4 cet6 toefl gre,"a. 腐烂的, 恶臭的, 堕落的, 风化的, 虚弱的\n[经] 腐烂的, 堕落的",6433,8385
deceive,5022,0.00011922,ecdict_education,cet4,cet4 cet6 ielts toefl,"v. 欺骗, 行骗",6916,8388
crane,5023,0.00011919,ecdict_education,cet4,cet4 cet6,"n. 鹤, 起重机\nvt. 伸颈, 起重机起吊\nvi. 伸颈看, 迟疑",8536,8390
crow,5024,0.00011902,ecdict_education,cet4,cet4 cet6 toefl,"n. 啼叫, 乌鸦, 鸡鸣, 撬棍\nvi. 啼叫, 报晓",9901,8402
irregular,5025,0.00011891,ecdict_education,cet4,cet4 cet6 ielts toefl,"n. 不规则物, 不合规格之物\na. 不规则的, 不整齐的, 不合法的",7020,8410
cannon,5026,0.00011862,ecdict_education,cet4,cet4 cet6 ielts,"n. 大炮, 加农炮\nv. 炮轰",7136,8430
knit,5027,0.00011854,ecdict_education,cet4,cet4 cet6 ielts gre,"v. 编织, 结合",3347,8436
cloak,5028,0.00011847,ecdict_education,cet4,cet4 cet6,"n. 斗蓬, 大氅, 掩护\nvt. 遮掩, 隐匿, 使披斗蓬",6563,8441
lag,5029,0.00011837,ecdict_education,cet4,cet4 cet6 ielts toefl gre,"n. 落后, 囚犯, 迟延, 桶板, 防护套\na. 最后的\nvi. 落后, 蹒跚, 缓缓而行, 滞后\nvt. 落后于, 押往监狱, 加上外套\n[计] 延迟; 落后",9463,8448
enclose,5030,0.00011822,ecdict_education,cet4,cet4 cet6 ielts toefl,"vt. 围绕, 圈起, 放入封套, 附上",4313,8459
imprison,5031,0.00011813,ecdict_education,cet4,cet4 cet6,"vt. 使下狱, 关闭, 拘禁, 限制\n[法] 关押, 监禁, 限制",6445,8465
flare,5032,0.00011811,ecdict_education,cet4,cet4 cet6 ielts toefl gre,"n. 闪光, 闪耀\nvi. 闪光, 闪耀\nvt. 用发光信号发出, 使闪耀, 使张开",7846,8467
noticeable,5033,0.00011781,ecdict_education,cet4,cet4 cet6,"a. 显而易见的, 显著的, 值得注意的",6347,8488
radiate,5034,0.00011770,ecdict_education,cet4,cet4 cet6 ielts toefl,"vt. 放射, 散发, 辐射, 传播, 广播\nvi. 发光, 辐射, 流露\na. 有射线的, 辐射状的",10092,8496
bitterly,5035,0.00011754,ecdict_education,cet4,cet4,"adv. 怨恨地, 悲痛地, 残酷地",5336,8508
skim,5036,0.00011744,ecdict_education,cet4,cet4 cet6 ielts toefl gre,"vt. 撇取浮沫, 略读, 掠过\nvi. 擦过, 浏览\nn. 脱脂乳, 擦过, 表层物\na. 撇去浮沫的",9925,8515
pudding,5037,0.00011740,ecdict_education,cet4,cet4 cet6,n. 布丁,5387,8518
gracious,5038,0.00011712,ecdict_education,cet4,cet4 cet6 ielts toefl gre,"a. 亲切的, 慈善的",9946,8538
thickness,5039,0.00011692,ecdict_education,cet4,cet4 cet6 toefl,"n. 厚度, 密度, 愚钝, 含混不清\n[医] 厚度",6490,8553
freight,5040,0.00011674,ecdict_education,cet4,cet4 cet6 ielts toefl gre,"n. 船货, 运费, 货运\nvt. 装货, 使充满, 以货运运送, 租(或出租)(船等)",5761,8566
lighten,5041,0.00011654,ecdict_education,cet4,cet4 cet6,"vt. 照亮, 点亮, 减轻, 使轻松, 闪出\nvi. 发亮, 打闪, 变轻",11353,8581
rein,5042,0.00011589,ecdict_education,cet4,cet4 cet6 gre,"n. 缰绳, 统治, 支配\nvt. 驾驭, 以缰绳控制, 控制\nvi. 勒住马",6977,8629
mislead,5043,0.00011534,ecdict_education,cet4,cet4 cet6 toefl,vt. 误导,8459,8670
semiconductor,5044,0.00011447,ecdict_education,cet4,cet4 cet6,n. 半导体\n[化] 半导体,9381,8736
nuisance,5045,0.00011444,ecdict_education,cet4,cet4 cet6 ielts,"n. 讨厌的东西, 讨厌的人, 损害\n[医] 损害, 讨厌",5300,8738
intentional,5046,0.00011436,ecdict_education,cet4,cet4 cet6 gre,"a. 故意的, 与目的有关的\n[法] 故意的, 有意的",12428,8744
purity,5047,0.00011431,ecdict_education,cet4,cet4 cet6 ielts gre,"n. 纯净, 纯正, 纯粹\n[化] 纯度",7137,8748
exterior,5048,0.00011414,ecdict_education,cet4,cet4 cet6 ielts toefl,"n. 外部, 表面, 外貌\na. 外部的, 外在的, 表面的",8714,8761
slipper,5049,0.00011391,ecdict_education,cet4,cet4 cet6 toefl,"n. 拖鞋, 制轮器\nvt. 用拖鞋打",9057,8779
wreckage,5050,0.00011331,ecdict_education,cet4,cet4 gre,"n. 残骸, 失事, 破坏\n[经] (船双等的)失事遭难",9903,8825
lest,5051,0.00011329,ecdict_education,cet4,cet4 cet6,"conj. 以免, 唯恐, 免得",9641,8827
beginner,5052,0.00011316,ecdict_education,cet4,cet4,n. 初学者,7066,8837
quotation,5053,0.00011289,ecdict_education,cet4,cet4 cet6 toefl,"n. 引用语, 语录, 牌价, 报价\n[化] 报价",5331,8858
rake,5054,0.00011285,ecdict_education,cet4,cet4 cet6,"n. 耙子, 钱耙, 斜度, 浪子\nv. 搜索, 掠过, (用耙子)耙, (使)倾斜",10098,8861
insignificant,5055,0.00011256,ecdict_education,cet4,cet4 cet6 toefl,"a. 无关紧要的, 无意义的, 琐碎的",8473,8884
overtake,5056,0.00011250,ecdict_education,cet4,cet4 cet6 ielts,"vt. 赶上, 突然降临于, 压倒, 代替",5931,8889
